MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWIdth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandWidth;AbsError(read);RelError(read)
SSD;4194304;char;4194304;5;sys/time.h;0;0.613319;6.521889;0;0%;0;0.258875;15.451448;0;0%
SSD;4194304;char;4194304;6;sys/time.h;0;0.615459;6.499216;0;0%;0;0.25937;15.422002;0.01;3.8555%
SSD;4194304;char;4194304;7;sys/time.h;0;0.618349;6.468844;0.01;1.61721%;0;0.258388;15.480613;0;0%
SSD;4194304;char;4194304;8;sys/time.h;0;0.613186;6.523302;0;0%;0;0.257665;15.524056;0;0%
SSD;4194304;char;4194304;9;sys/time.h;0;0.613869;6.516045;0.01;1.62901%;0;0.258719;15.460803;0;0%
SSD;4194304;char;4194304;10;sys/time.h;0;0.612889;6.526470;0;0%;0;0.257641;15.525467;0;0%
SSD;4194304;char;4194304;11;sys/time.h;0;0.613213;6.523015;0;0%;0;0.258717;15.460903;0.01;3.86523%
SSD;4194304;char;4194304;12;sys/time.h;0;0.615423;6.499599;0.02;3.2498%;0;0.262183;15.256500;0.04;15.2565%
SSD;4194304;char;4194304;13;sys/time.h;0;0.61155;6.540760;0;0%;0;0.257348;15.543161;0;0%
SSD;4194304;char;4194304;14;sys/time.h;0;0.615486;6.498930;0.03;4.8742%;0;0.258262;15.488154;0;0%
SSD;4194304;char;4194304;15;sys/time.h;0;0.613288;6.522226;0;0%;0;0.258834;15.453904;0.01;3.86348%
SSD;4194304;char;4194304;16;sys/time.h;0;0.61328;6.522306;0.01;1.63058%;0;0.257824;15.514446;0;0%
SSD;4194304;char;4194304;17;sys/time.h;0;0.612428;6.531381;0;0%;0;0.257807;15.515475;0;0%
SSD;4194304;char;4194304;18;sys/time.h;0;0.613435;6.520659;0.01;1.63016%;0;0.257904;15.509642;0;0%
SSD;4194304;char;4194304;19;sys/time.h;0;0.618403;6.468269;0.04;6.46827%;0;0.260324;15.365468;0.03;11.5241%
SSD;4194304;char;4194304;20;sys/time.h;0;0.612959;6.525726;0.01;1.63143%;0;0.258867;15.451970;0.01;3.86299%
SSD;4194304;char;4194304;21;sys/time.h;0;0.614651;6.507757;0.01;1.62694%;0;0.258588;15.468630;0.01;3.86716%
SSD;4194304;char;4194304;22;sys/time.h;0;0.612592;6.529627;0;0%;0;0.258687;15.462683;0.02;7.73134%
SSD;4194304;char;4194304;23;sys/time.h;0;0.61418;6.512750;0.01;1.62819%;0;0.258278;15.487162;0;0%
SSD;4194304;char;4194304;24;sys/time.h;0;0.614483;6.509533;0.01;1.62738%;0;0.2587;15.461943;0.01;3.86549%
SSD;4194304;char;4194304;25;sys/time.h;0;0.613826;6.516501;0.01;1.62913%;0;0.258723;15.460523;0;0%
